epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
100,647.412,1.18042,1.04029,1.08811,0.87746,0.74314,0.85684,0.57619,1.38792,1.03078,1.03785,0.00218616,0.000728719,0.00218616,0.000728719,0.00218616,0.000728719,0.00218616,0.000728719
101,652.223,1.05212,0.9559,1.01284,0.87746,0.74314,0.85684,0.57619,1.38792,1.03078,1.03785,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
102,654.483,1.23504,1.06184,1.12807,0.95323,0.75351,0.83815,0.57195,1.38305,0.99678,1.03228,0.00214371,0.000714571,0.00214371,0.000714571,0.00214371,0.000714571,0.00214371,0.000714571
103,657.384,1.22997,0.96192,1.08328,0.95323,0.75351,0.83815,0.57195,1.38305,0.99678,1.03228,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498
104,662.481,1.17973,1.13497,1.13649,0.95323,0.75351,0.83815,0.57195,1.38305,0.99678,1.03228,0.00210127,0.000700424,0.00210127,0.000700424,0.00210127,0.000700424,0.00210127,0.000700424
105,668.576,1.22161,0.93398,1.01419,0.95323,0.75351,0.83815,0.57195,1.38305,0.99678,1.03228,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
106,670.973,1.15971,1.14539,1.06477,0.85798,0.76813,0.87243,0.55155,1.45732,1.06752,1.05755,0.00205883,0.000686277,0.00205883,0.000686277,0.00205883,0.000686277,0.00205883,0.000686277
107,676.732,1.00706,0.90257,1.01607,0.85798,0.76813,0.87243,0.55155,1.45732,1.06752,1.05755,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204
108,682.883,1.17825,1.23012,1.06881,0.85798,0.76813,0.87243,0.55155,1.45732,1.06752,1.05755,0.00201639,0.00067213,0.00201639,0.00067213,0.00201639,0.00067213,0.00201639,0.00067213
109,685.584,1.16645,1.08186,1.04854,0.85798,0.76813,0.87243,0.55155,1.45732,1.06752,1.05755,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
110,693.371,1.1027,1.04149,1.04051,0.89961,0.76937,0.85218,0.55065,1.40301,1.02129,1.03484,0.00197395,0.000657983,0.00197395,0.000657983,0.00197395,0.000657983,0.00197395,0.000657983
111,695.411,1.07499,1.02127,1.05815,0.89961,0.76937,0.85218,0.55065,1.40301,1.02129,1.03484,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
112,701.373,1.10738,1.00403,1.00946,0.89961,0.76937,0.85218,0.55065,1.40301,1.02129,1.03484,0.00193151,0.000643836,0.00193151,0.000643836,0.00193151,0.000643836,0.00193151,0.000643836
113,704.581,1.08765,0.96959,1.01993,0.89961,0.76937,0.85218,0.55065,1.40301,1.02129,1.03484,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
114,711.973,1.23207,1.08579,1.1828,0.89755,0.78506,0.88157,0.55544,1.44688,0.97724,1.06349,0.00188907,0.000629689,0.00188907,0.000629689,0.00188907,0.000629689,0.00188907,0.000629689
115,714.269,1.22011,1.01423,1.02421,0.89755,0.78506,0.88157,0.55544,1.44688,0.97724,1.06349,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615
116,716.276,1.12062,0.95525,1.06376,0.89755,0.78506,0.88157,0.55544,1.44688,0.97724,1.06349,0.00184663,0.000615542,0.00184663,0.000615542,0.00184663,0.000615542,0.00184663,0.000615542
117,722.106,0.97851,0.90851,0.99156,0.89755,0.78506,0.88157,0.55544,1.44688,0.97724,1.06349,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
118,728.214,1.36393,1.15411,1.20265,0.83481,0.85827,0.89899,0.57396,1.45883,0.96821,1.0691,0.00180418,0.000601395,0.00180418,0.000601395,0.00180418,0.000601395,0.00180418,0.000601395
119,734.121,0.97405,0.94328,0.98544,0.83481,0.85827,0.89899,0.57396,1.45883,0.96821,1.0691,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321
